No.,Agent,Role,Origin,Release Patch,Voice
01,Brimstone,Controller,United States,Beta,Steve Blum
02,Viper,Controller,United States,Beta,Ashly Burch
03,Omen,Controller,Unknown,Beta,Jason Marnocha
04,Killjoy,Sentinel,Germany,1.05,Eva Feiler
05,Cypher,Sentinel,Morocco,Beta,Nabil Elouahabi
06,Sova,Initiator,Russia,Beta,Aaron Vodovoz
07,Sage,Sentinel,China,Beta,Naomi Yang
09,Phoenix,Duelist,United Kingdom,Beta,Afolabi Alli
10,Jett,Duelist,South Korea,Beta,Shannon Williams
11,Reyna,Duelist,Mexico,1.0,Karina Altamirano
12,Raze,Duelist,Brazil,Beta,Carolina Ravassa
13,Breach,Initiator,Sweden,Beta,David Menkin
14,Skye,Initiator,Australia,1.11,Miranda O'Hare
15,Yoru,Duelist,Japan,2.0,Daisuke Takahashi
16,Astra,Controller,Ghana,2.04,Effie Nkrumah
17,KAY/O,Initiator,Alternate Timeline Earth,3.0,Gabe Kunda
18,Chamber,Sentinel,France,3.10,Hugo Pierre Martin
19,Neon,Duelist,Philippines,4.0,Vanille Velasquez
20,Fade,Initiator,Türkiye,4.08,Selin Çuhadaroğlu
21,Harbor,Controller,India,5.08,Sunil Malhotra
22,Gekko,Initiator,United States,6.04,"Alejandro Antonio Ruiz(With creature voices from Jan Johns, Kellen Goff, and Paul Guyet)"
23,Deadlock,Sentinel,Norway,7.0,Nora Gjestvang
24,Iso,Duelist,China,7.09,Unknown
25,Clove,Controller,United Kingdom,8.05,Isla Campbell
