Agent Name,Agent Abilities
Jett (Duelist),"Drift (Passive)–Jetthovers in the air while holding jump. While drifting down from any height, Jett does not take any damage. She can also glide from one place to another, thanks to Drift. This mobility advantage can catch any agent off-guard in Valorant.Updraft (Q)– Jett instantly flies upwards in the air, allowing her to get a broader view and aerial perspective. Jett can shoot while in the air but with less accuracy. From a standard Updraft, Jett does not take any damage; if the height is in a fall damage range, Jett can use Drift to avoid damage.Cloudburst (C)– Throw an instant smoke in a desired place. The smoke takes away vision from anyone inside or outside of it. You can move around the Cloudburst before dropping it at a place by hovering your aim while holding the ability button.Tailwind (E) (Signature)– Jett activates her Signature for a certain duration. Within this duration, you can press the ability button again to dash. If you use Tailwind without pressing any movement key, it will take you towards the direction you are facing. Otherwise, you can press the desired direction key to dash in that direction. Jett also gains Tailwind back if she gets two kills after using the ability already.Blade Storm (X) (Ultimate)– Jett instantlyequips five knives. Jett gets better movement speed and a higher recovery rate while Blade Storm is active. The knives are precise and one shot kills on head contact. The Blade Storm knives are accurate even when Jett is Drifting, Updrafting, or is on the ropes. Killing the enemy replenishes the knives, but if you press the alt-fire button, all blades are fired instantly and are non-recoverable."
Phoenix (Duelist),"Heating up (Passive) –Phoenix benefits from his fire-producing abilities that cause damage to others. Heals up to 50 HP every time he stands in his fire. This passive helps Phoenix stay longer in fights, unlike any other Valorant character.Curveball (Q) –Phoenix equips the fire orb in his fingers and snaps it left or right according to which direction they want it to go. The fire orb detonates after a brief second and blinds anyone looking in that direction. The blind affects teammates too.Blaze (C) –Using this ability,Phoenix draws a firewall along the ground, blocking everyone’s vision and damaging anyone who touches the flames. Bend the wall while casting it by moving the aim.Hot hands (E) (Signature) –Phoenix creates a ball of fire and throws it in the direction of your choosing. After a short distance, the fireball lands and creates a pit of fire, damaging any Valorant agent standing in it, including teammates. Only Phoenix heals because of his passive.Run it back (X) (Ultimate) –Phoenix instantly creates a marker where he is standing andturns into a body double. For a brief period, the double can walk around, shoot, use abilities, and die if shot down by enemies or time runs out. After the duration or after getting killed, Phoenix spawns back on that marker with HP and armor he had before turning into the body double."
Brimstone (Controller),"Incendiary (Q) –Brimstonetakes out the Incendiary launcher and throws a grenade, which detonates after a short delay into a pile of fire. Often referred to as the molly, it burns anyone standing in it and deals heavy damage over time.Stim beacon (C) –Instantly throw a Combat Stim Beacon. Upon immediate activation, it affects any teammate in its AOE to become faster along with gaining reload speed and fire rate boost.Sky smoke (E) (Signature) –Open the tactical map and mark down areas. After marking down areas, Brimstone launches smoke bombs that cover a huge area for a long time. The smoke takes away vision from people in or outside the smoke.Orbital strike (X) (Ultimate) –Open the tactical map and mark a location on the map. Brimstone then launches an Orbital strike at that marked location. The Orbital strike inflicts damage on anyone in the area and destroys any utility or object. While the ongoing strike also blocks vision for anyone outside or inside the strike. The Orbital strike damage affects any Valorant agents, including your enemy and teammates."
Sova (Initiator),"Shock bolt (Q) –Bring out an arrow charged with electricity. Shoot it in a direction until it comes in contact with any surface, object, or enemy. Up on contact, the electricity makes a Shockwave explosion dealing damage to any nearby unit.Owl drone (C) –Sova, a Valorant agent from Russia, rings out his drone and sends it forward. The drone can move around and see anything in front of it, giving full vision to Sova. While the drone is scanning, it can shoot darts at the enemy to relay their live location for a brief duration. The drone can be destroyed by enemy fire.Recon bolt (E) (Signature) –Sova equips his Recon arrow. After throwing it in a direction, it sticks onto any object, surface, or enemy, giving live location updates around the location. Enemy fire destroys the Recon arrow.Hunter’s Fury (X) (Ultimate) –Sova unleashes his inner hunter and charges his bow to the maximum potential. Upon activation, Sova can throw big electric strikes in a direction, dealing heavy damage and giving live location updates of the enemy who got hit. The strikes pierce walls and objects and can destroy any enemy utility. Can cast up to amaximum of 3 strikes."
Sage (Sentinel),"Slow orb (Q) –Sage creates a crystal orb, which explodes and creates a puddle upon throwing. The puddle slows down anyone or anything walking on it and creates a crystalizing sound.Barrier orb (C) –Uses both hands to craft a crystal barrier, which takes some time to form, to block other Valorant characters from entering a site. A fully formed barrier takes a significant amount of bullets, knife strikes, or some barrier-destroying abilities to take it down. The barrier blocks vision while it is up.Healing orb (E) (Signature) –Generate a healing orb and use it on a teammate or self for health recovery. Healing self causes significantly less healing than healing teammates. Sage is one of the most reliable support agents in Valorant because of her healing ability.Resurrection (X) (Ultimate) –Initiate the resurrection effect by casting it on a dead teammate. After the effect duration is over, your  teammate is revived with full HP."
Omen (Controller),"Paranoia (Q) –Omenforms a shadow orb in his hands. Throwing it in a direction makes it grow and fade away after traveling some distance. Anyone in its path gets affected by blind for a duration and gets their audio deafened.Shrouded step (C) –Unequip firearm and shows a marker. Once activated, Omen jumps to the marked location after a short delay. This teleportation ability is one of the fastest among any other Valorant agents currently.Dark cover (E) (Signature) –Opens a 3D view of the map, showing a green marker. Once activated, Omen throws a cover of smoke on the green marker, thus, blocking vision for anyone in or out of the smoke.From the shadows (X) (Ultimate) – Open the tactical map and mark a desired location. Once done, Omen can transform into a shadow entity and see around the marked location. After a duration, Omen teleports to that location. During this, if the entity is killed or the ability button is pressed the ability gets canceled. It also makes the enemy mini-map unclear. Omen can interact with the spike, doors, or other interactable while in the shadow phase."
Viper (Controller),"Toxin (Passive) –Toxin allows all of Viper’s abilities to apply decay to enemies, which makes them vulnerable and decreases their HP over time.Fuel (Passive) –Viperspawns with a 100-point Toxic Fuel. It allows Viper to control her Poison cloud and Toxic screen ability.Poison cloud (Q) –Viper throws an orb, which upon activation, emits a Poison cloud that blocks everyone’s vision. All the enemies touching it are affected by toxin, lowering their HP over time.Snakebite (C) –Viper throws a Poison vial on the ground, which breaks into a poisonous dump on contact. Anyone within the area of its effect gets damaged over time while getting affected by the toxin. Snakebite damages any Valorant agent, be it your teammate or the enemies.Toxic screen (E) (Signature) –Throw a wall-piercing line of dots toward a direction. After the dots are placed Viper can use Fuel to make a Poison wall along the dotted line. It makes everyone’s line of sight blocked on both sides of the wall. Any enemy touching the wall is affected by Toxin.Viper’s pit (X) (Ultimate) –Shows a marker on the ground. Up on activation Viper starts emitting poison mist around the marker which turns into a pit of poison. Anyone inside this pit gets their vision range reduced. Enemies are instantly affected by Toxin. The pit’s duration is unlimited unless Viper is killed or she leaves the pit for more than 8 seconds."
Breach (Initiator),Flashpoint (Q) –Valorant character Breach throws a blinding flare through any wall or structure. The flare detonates on the other side and blinds anyone looking in that direction.Aftershock (C) –Breach throws a beacon on any wall or structure. The beacon throws a damaging shock on the opposite side of it 3 times. Aftershock damages any Valorant agent near the affected area.Fault line (E) (Signature) –Charge up a Seismic pulse. After throwing it in a direction Breach stuns anyone in its zone for a brief period. It affects both teammates and enemies.Rolling Thunder (X) (Ultimate) –Breach brings out the bigger Seismic charge marking down a large location. Up on casting the area is affected by a big earthquake. It knocks back anyone in the area along with stunning them briefly. Affects teammates too.
Raze (Duelist),"Blast pack (Q) –Raze instantly throws a pack of explosives. It sticks to any surface or objects in contact and after a brief time detonates. Up on detonation, it knocks anything that is in its contact and deals a small amount of damage to it or an Enemy. You can also detonate it early by using the Blast pack again before its duration expires.Boom bot (C) –Gear up the Boom bot and launch it in the desired direction. The bot goes forward and scans for the enemy in its front cone radius. Finding any enemy activates the Boom bot and it keeps chasing the enemy with a faster movement speed and deals damage once in close contact. Enemy fire can destroy the Boom bot.Paint Shells (E) (Signature) –Raze equips a grenade which after throwing detonates. Up on detonation, it becomes smaller grenades dealing more damage to anyone or anything in the area. After using a Paint Shell already, Raze gains another one on every two kills.Showstopper (X) (Ultimate) –Take out the rocket launcher and shoot one devastating rocket toward the aimed location. The rocket can kill everyone in the area of effect. Showstopper deals less damage if it hits the outer area of anywhere the enemy is standing.  Showstopper also damages teammates too. All of Raze’s abilities deal damage to any agent in Valorant including teammates."
Cypher (Sentinel),"Cyber cage (Q) –Throw a futuristic button on the ground. Activate it to create a cyber kinetic cage that blocks vision for anyone in or outside of the caged area.Trap wire (C) –Equip a small cyber trap. Putting the trap in a place will create a wire and if an enemy touches the wire, the wire pulls that enemy towards it for a brief time before it stuns them for a duration. During this, the trap also reveals the location of the trapped target. The trap rearms after a brief period and can only be destroyed by enemy bullets or specific abilities.Spycam (E) (Signature) –Put the camera anywhere. While not being around Cypher can spy on the location where the camera is. You can also throw a tracker from the camera on an enemy. The tracker sends static location information of the enemy until they remove it.Neural theft (X) (Ultimate) –Cypherthrows his hat toward a dead enemy. The hat takes a brief initiation time before uploading the location of the rest of the enemies. The location is revealed two times in a delay of 2 seconds."
Reyna (Duelist),"Soul Harvest (Passive) –Reynaturns her victims, i.e. other Valorant characters, into soul orbs after eliminating them or getting an assist. The orbs stay there for 3 seconds before vanishing. Reyna can utilize her signature abilities while these orbs are available.Devour (Q) (Signature) –Reyna’s first signature ability is Devour. After harvesting a soul you can use this ability to heal over time (capped at 100 per soul). If Reyna already has 100 hp and no armor then the rest of the heal converts into armor value also known as overheal. Overheal goes away after a brief duration.Leer (C) –Take out a purple eye and throw it in a direction, blinding anyone who looks in that direction of the eye. You can throw the eye from behind a wall, structure, or obstacle, and it is destructible. The eye doesn’t blind teammates and enemies who are too close to the eye can have slight vision.Dismiss (E) (Signature) –Reyna’s second signature ability is Dismiss. Reyna activates one harvested soul and unequips her gun while becoming non-targettable and faster. Reyna also evades any area damage effect.Empress (X) (Ultimate) –Activate the Empress mode. Reyna gains additional movement speed, fire rate, reload speed, and recovery speed. Along with the buffs, Reyna gains a timer of the Empress which keeps refreshing with every kill you get. Empress also buffs up her signature abilities making her go invisible up on casting Dismiss and healing her to the max. Reyna also gains a vision boost during Empress which allows her to find the smallest part of the enemy’s body indicating it in purple color."
Killjoy (Sentinel),"Alarmbot (Q) –Put a scanner bot in place. The bot stays hidden until it scans an enemy. Bot chases down an enemy after finding it and explodes on contact. After the explosion, the bot makes the affected enemy vulnerable for a brief duration.Nanoswarm (C) –Killjoy can place swarm grenades anywhere on the map. Once you activate the grenade, it will create an energy field and cause damage to anyone inside the field.Turret (E) (Signature) –Put a sentry gun in place. The sentry scans anyone in 100 degrees forward vision and inflicts damage on them. The sentry deals damage in a burst if the enemy is closer.Lockdown (X) (Ultimate) –Initiate lockdown by putting down the device. It creates a massive energy dome around its range and takes some time to lock everything down within the area. Once the lockdown is successful, all the enemies are disarmed and slowed down for a brief duration."
Skye (Initiator),"Trailblazer (Q) –Skye summons a Tasmanian tiger from her trinket. The Tiger can move around and give vision to Skye through its eyes. It can also deal a small amount of damage and stun enemies for a brief duration. Enemy fire can destroy the Tiger.Regrowth (C) –A Valorant character of nature, Skye uses her healing bar and heals teammates near her. Teammates gain up to 100 hp over time. If every teammate is healed completely, the healing bar stops dropping.Guiding light (E) (Signature) –Skye equips a bird trinket and throws it in a direction. While in its path the bird can be detonated. After detonation, it blinds anyone looking in the direction of the bird. When blinding the enemy, Skye also gets information if anyone got affected by the blindness.Seekers (X) (Ultimate) –Skye summons three bigger trinkets and sends them forward. The trinkets chase down the enemy for a short duration. After contacting the enemy, they burst in their face turning them blind and deaf for a brief time. Enemy fire destroys the trinkets."
